编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
529,绵阳明兴,2022.1.17,忆乡黑猪,,6,,,108.5,,,84.265,,40.395,,,,,,,,,,,,,,,,,,,,,,,,,0.776635945,95.6,81,,,,4.1,3.3,2.25,5.38,3.643333333,,,,,,3.5,,0.584619214,,30.08959681,11.44848183,0.126743013,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.073333333,5.463333333,5.523333333,5.623333333,,5.82,5.923333333,5.913333333,6.036666667,,33.84,3.4,2.186666667,34.22333333,4.133333333,1.92,38.78666667,4.76,2.19,38.74333333,5.153333333,2.74,33.52333333,10.82,3.26,32.06333333,11.41666667,3.283333333,32.72,10.49333333,3.146666667,32.65666667,10.14333333,3.976666667,,,,,,,5.53,20.38,3.04,10.94,0.257675957,0.111166008,0.257675957,0.111166008,,,5.53,20.38,3.04,10.94
530,绵阳明兴,2022.1.17,忆乡黑猪,,7,,,108,,,83.38,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,0.772037037,92.3,78,,,,4,2.2,2.84,4.47,3.17,,,,,,4.2,,0.539863911,,33.94530748,12.06830145,0.155912689,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,5.496666667,5.463333333,5.54,,6.283333333,6.23,6.253333333,6.276666667,,33.45333333,4.36,2.046666667,35.31333333,4.747666667,2.002,35.98333333,5.496666667,1.63,41.01666667,4.37,2.13,30.51666667,10.78,2.74,28.68666667,9.953333333,2.746666667,30.52666667,11.88666667,3.5,31.72333333,11.37,3.24,,,,,,,3.6,13.37,2.44,9.03,0.20912654,0.145345345,0.20912654,0.145345345,,,3.6,13.37,2.44,9.03
531,绵阳明兴,2022.1.17,忆乡黑猪,,8,,,114,,,83.64,,40.55,,,,,,,,,,,,,,,,,,,,,,,,,0.733684211,95,79.8,,,,4.56,2.7,4.1,5.05,3.95,,,,,,3.2,,0.523456169,,37.08967425,10.56470884,0.12613582,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.506666667,5.62,5.693333333,5.833333333,,5.936666667,6.03,5.576666667,6.07,,36.94,4.46,2.323333333,40.95333333,5.513333333,3.9,42.21,5.556666667,3.583333333,46.70333333,7.803333333,6.506666667,32.17333333,11.38333333,3.37,31.57,5.483333333,1.416666667,31.25,9.38,2.513333333,33.82333333,12.62333333,5.973333333,,,,,,,5.62,22.45,3.4,13.54,0.183164006,0.13627321,0.183164006,0.13627321,,,5.62,22.45,3.4,13.54
532,绵阳明兴,2022.1.17,忆乡黑猪,,9,,,103.5,,,78.205,,36.51,,,,,,,,,,,,,,,,,,,,,,,,,0.755603865,92,80.5,,,,4.77,3.12,3.49,4.92,3.843333333,,,,,,4.2,,0.587942478,,29.31415929,11.89159292,0.148967457,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.286666667,5.396666667,5.583333333,5.513333333,,6.25,6.116666667,6.146666667,6.293333333,,34.06333333,6.383333333,2.053333333,40.46666667,8.34,4.166666667,39.01,7.933333333,3.166666667,39.71666667,8.69,4.233333333,33.60666667,15.36333333,4.456666667,33.36333333,9.953333333,3.023333333,34.28666667,12.10666667,3.973333333,33.95,12.88333333,4.146666667,,,,,,,4.85,18.3,5.62,22.24,0.235784314,0.187378326,0.235784314,0.187378326,,,4.85,18.3,5.62,22.24
533,绵阳明兴,2022.1.17,忆乡黑猪,,10,,,114.5,,,89.645,,43.25,,,,,,,,,,,,,,,,,,,,,,,,,0.782925764,88.2,73,,,,4.07,2.8,2.8,5.2,3.6,,,,,,5.3,,0.471877197,,42.85212093,9.960159363,0.146689721,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.746666667,5.3,5.316666667,5.39,,5.99,6.136666667,6.193333333,6.183333333,,33.76666667,3.86,2.01,34.32,5.786666667,2.796666667,40.09666667,5.433333333,3.1,45.00666667,5.286666667,4.056666667,33.12666667,11.32,3.263333333,31.38666667,11.77333333,3.953333333,30.46666667,9.373333333,3.003333333,31.82,9.436666667,3.08,,,,,,,5.18,22.65,3.49,14.27,0.212793314,0.130520266,0.212793314,0.130520266,,,5.18,22.65,3.49,14.27
534,内江猪,2022.1.12,内江猪,,3404,母,,102,,,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.700980392,82,72,,,,3.6,2.45,2.8,4.46,3.3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.56,5.206666667,5.376666667,,6.006666667,5.586666667,5.363333333,5.513333333,,43.20333333,4.023333333,4.206666667,39.48666667,7.016666667,3.553333333,42.16,4.99,2.43,34.37,12.44,5.506666667,,,,31.55333333,15.61,4.313333333,32.86333333,10.73666667,3.766666667,32.82333333,9.943333333,3.493333333,43.66,5.416666667,2.753333333,,,,9.51,38.87,7.67,31.78,,,0.204717222,0.171807359,,,,,,
535,内江猪,2022.1.12,内江猪,,3573,母,,101,,,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65049505,84,75,,,,3.19,2.4,2.72,5.27,3.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.993333333,5.693333333,4.993333333,4.84,,6.03,6.026666667,5.206666667,5.38,,35.56666667,2.95,1.566666667,44.96333333,5.023333333,3.836666667,44.41,4.396666667,2.45,42.45333333,3.84,2.05,,,,35.12,13.28,4.333333333,33.13666667,8.85,3.02,35.09,10.95333333,3.016666667,38.04333333,10.97,4.22,,,,8.51,35.79,2.54,9.24,,,0.161908658,0.169675336,,,,,,
536,内江猪,2022.1.12,内江猪,,3916,阉公,,103,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699029126,89,78,,,,2.8,1.62,1.82,4.6,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.056666667,6.5,5.173333333,5.3,,6.173333333,6.336666667,5.35,5.686666667,,38.81666667,3.17,2.346666667,39.12666667,2.21,1.766666667,39.92666667,4.673333333,1.806666667,40.29333333,2.593333333,1.556666667,,,,33.59,14.48,4.16,36.39,9.056666667,4.346666667,34.67,12.10333333,6.043333333,31.11,12.74666667,3.783333333,,,,8.06,32.38,2.75,10.79,,,0.152712371,0.17959499,,,,,,
537,巴克夏,2021.12.30,巴克夏,,A910-2,母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,83,,,,2.1,2.2,1.7,3.6,2.5,,12,5.5,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,5.46,5.613333333,5.39,5.33,5.606666667,6.006666667,6.02,5.553333333,5.666666667,46.61666667,12.70333333,19.71,43.10666667,15.75,2.746666667,45.16,2.93,2.936666667,43.10666667,2.93,2.936666667,45.51666667,2.876666667,3.326666667,37.66,16.29,7.84,33.86,19.36666667,3.39,36.15666667,12.59333333,4.996666667,35.86666667,12.63666667,4.22,38.03666667,14.39666667,5.77,,,,,,,0.270138889,0.271034933,,,,,,
538,巴克夏,2021.12.30,巴克夏,,A910-1,母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,80,,,,1.5,1.5,1.5,2.7,1.5,,14,5.8,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.663333333,5.343333333,5.09,5.09,5.216666667,6.006666667,5.606666667,5.9,5.33,5.41,42.46,13.61666667,6.29,40.07666667,6.286666667,3.006666667,47.06333333,6.42,4.426666667,43.95,5.59,3.406666667,42.78,5.13,3.07,36.28,17.84666667,5.73,33.44666667,12.55333333,4.6,32.82333333,8.876666667,3.366666667,33.64666667,7.9,3.28,36.30666667,7.96,3.49,,,,,,,0.282254936,0.241057113,,,,,,
539,巴克夏,2021.12.30,巴克夏,,1055-4,母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,70,,,,1.8,1.8,0.9,2.6,1.5,,10.5,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,5.936666667,5.39,5.39,5.4,6.02,5.543333333,5.82,5.51,5.57,43.27666667,12.26333333,6.406666667,31.53666667,4.123333333,1.886666667,39.74,4.996666667,3.046666667,30.08333333,4.54,2.636666667,40.70333333,4.95,3.263333333,37.27333333,14.65,6.966666667,34.84,8.573333333,3.223333333,36.15333333,10.82,3.896666667,35.88333333,10.05,4.13,36.51333333,8.936666667,3.533333333,,,,,,,0.23330875,0.225058169,,,,,,
540,巴克夏,2021.12.30,巴克夏,,1055-3,母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,69,,,,1.6,1.6,1.4,2.8,1.533333333,,10.8,5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.336666667,5.343333333,5.343333333,5.366666667,6.1,5.63,5.956666667,5.673333333,5.536666667,43.80333333,12.90333333,6.17,40.36,4.353333333,2.683333333,46.16666667,6.03,4.633333333,45.17666667,4.713333333,3.383333333,43.78666667,5.113333333,3.42,36.76666667,18.73666667,5.216666667,33.23333333,8.182333333,3.086666667,38.08666667,9.256666667,4.34,37.15333333,8.41,3.17,36.36,9.373333333,3.646666667,,,,,,,0.178883392,0.173762074,,,,,,
541,金乌金,2022.6.5,凉山猪,,,母,,,,,78.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,81,,,,39.3,30.5,24.2,45.4,33.36666667,,9.3,4.5,29.295,,1.45,,0.38317757,,0.405874499,0.210947931,0.207891712,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.353333333,5.423333333,,,,45min,24h,48h,,,33.29666667,8.62,2.543333333,34.53333333,8.476666667,2.353333333,36.36333333,8.933333333,2.883333333,,,,,,,29.30333333,13.77333333,3.343333333,26.53,10.08666667,2.303333333,25.14333333,10.39333333,2.873333333,,,,,,,6.417013,22.61198,5.025653,21.739745,0.020727273,,0.278586279,0.306469225,3.5,3,,,,
542,金乌金,2022.6.5,凉山猪,,,母,,,,,75.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,84.5,,,,63.5,43.2,44.8,74.3,54.1,,8.3,3.3,19.173,,3.29,,0.391799544,,0.474943052,0.133257403,0.211323764,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.596666667,5.916666667,,,,5.986666667,5.9,,,,31.57,7.25,2.176666667,30.51,5.92,1.503333333,31.11666667,7.106666667,1.606666667,,,,,,,29.3,13.79666667,3.296666667,27.24,10.93333333,2.67,27.93333333,12.31,3.573333333,,,,,,,5.773491,21.703976,3.708997,14.222748,0.029411765,,0.261061947,0.225828445,4.5,3.5,,,,
543,金乌金,2022.6.5,凉山猪,,,公,,,,,79.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,76,,,,41.5,40.2,39.7,57.9,45.93333333,,9.2,3.4,21.896,,2.18,,0.456790123,,0.414266118,0.128943759,0.182919137,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.616666667,5.723333333,,,,5.896666667,6.686666667,,,,32.63333333,9.51,2.823333333,30.07,7.28,1.383333333,31.66666667,7.813333333,2.083333333,,,,,,,28.21,11.33666667,2.953333333,25.00333333,9.116666667,1.74,26.13666667,10.14,2.186666667,,,,,,,4.207398,14.416946,2.358295,9.03585,0.030869565,,0.24,0.232991361,2.5,1.5,,,,
544,金乌金,2022.6.5,凉山猪,,,母,,,,,64.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,78.5,,,,43.8,37.5,49.5,55.8,47.6,,7,2.9,14.21,,1.4,,0.429864253,,0.441930618,0.128205128,0.184116087,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.166666667,6.18,,,,6.476666667,6.703333333,,,,38.22666667,7.48,3.463333333,31.30666667,4.643333333,1.136666667,32.90666667,6.166666667,2.246666667,,,,,,,32.35333333,14.82666667,3.983333333,30.48333333,11.61333333,2.796666667,31.95333333,13.75333333,4.56,,,,,,,3.469225,13.953675,1.12074,3.800018,0.026938776,,0.265168539,0.213997918,4.5,3.5,,,,
545,金乌金,2022.6.5,凉山猪,,,公,,,,,66.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,79.5,,,,35.1,30.3,27.9,46.4,34.86666667,,4.9,3.4,11.662,,1.78,,0.498550725,,0.350724638,0.150724638,0.157009907,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.396666667,5.45,,,,6.366666667,6.19,,,,38.48666667,8.713333333,3.483333333,38.12666667,7.93,2.13,35.95,9.713333333,4.996666667,,,,,,,33.04,15.84333333,4.743333333,34.74333333,11.00333333,3.316666667,34.97333333,15.31333333,4.823333333,,,,,,,5.076667,18.59755,3.298089,10.208847,0.065454545,,0.323170732,0.207527156,2,2.5,,,,
546,金乌金,2022.6.5,凉山猪,,2087020,公,,116,,,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674137931,97,80,,,,41.4,37.8,46,55.9,46.56666667,,9.2,3.8,24.472,,2.715,,0.404639175,,0.503865979,0.091494845,0.205242967,,,,,,,,,,,2.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.586666667,5.306666667,,,6.306666667,5.466666667,,,,31.93,9.21,2.36,33.52333333,12.58,3.163333333,35.87333333,13.3,3.716666667,,,,,,,27.79666667,15.19333333,3.273333333,28.78333333,12.41333333,3.52,25.69666667,11.46,2.763333333,,,,,,,5.253979,20.023718,7.13433,29.474656,0.071034483,,0.26199262,0.272583473,5,4.5,,,,
547,金乌金,2022.6.5,凉山猪,,2086850,公,,111,,,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724324324,87,75,,,,43.1,36.9,51.5,52.2,46.86666667,,7.9,4.7,25.991,,3.005,,0.407035176,,0.525125628,0.067839196,,,,,,,,,,,,3.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,5.443333333,,,,5.553333333,5.613333333,,,33.39,5.43,2.56,37.17666667,6.073333333,2.383333333,38.09,6.38,2.18,,,,,,,30.17,11.17,2.59,29.89666667,12.02333333,4.403333333,29.99,11.53666667,2.5,,,,,,,6.195662,21.400716,6.914833,25.055348,0.039310345,,0.23325062,0.226220017,2.5,1.5,,,,
548,金乌金,2022.6.5,凉山猪,,2087024,母,,111,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686486486,86,78,,,,43.7,37.9,44.4,54.6,45.63333333,,9.1,4.7,29.939,,1.355,,0.435526316,,0.477631579,0.086842105,0.26914329,,,,,,,,,,,1.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.486666667,5.396666667,,,,5.456666667,5.476666667,,,33.36666667,7.24,2.58,31.46,6.86,1.836666667,33.97,9.533333333,2.34,,,,,,,28.55333333,11.78666667,2.316666667,27.53,11.04333333,2.323333333,30.26333333,11.57333333,2.27,,,,,,,6.236793,24.940493,4.612529,18.224477,0.054545455,,0.22247191,0.246771416,3,2,,,,
549,金乌金,2022.6.5,凉山猪,,2087017,母,,88,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721590909,94.5,80,,,,30,18.4,11.4,44.2,24.66666667,,10.2,2.7,19.278,,0.585,,0.507109005,,0.342812006,0.150078989,0.263848172,,,,,,,,,,,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.316666667,5.463333333,,,,5.493333333,5.606666667,,,36.61333333,7.37,3.586666667,38.1,7.43,3.22,40.82333333,6.973333333,2.856666667,,,,,,,34.20666667,13.52333333,3.61,36.84666667,12.70666667,4.743333333,33.83,10.57666667,2.956666667,,,,,,,4.357714,15.355022,4.54858,15.05916,0.093207547,,0.253578732,0.284286131,4.5,3,,,,
550,金乌金,2022.6.5,凉山猪,,1925077,母,,98,,,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747959184,93,79,,,,46.3,37.7,49.7,53,46.8,,6.7,4.8,22.512,,1.45,,0.42032967,,0.489010989,0.090659341,0.235448005,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,5.573333333,,,,5.433333333,5.416666667,,,37.04333333,8.61,3.656666667,38.96,7.206666667,2.38,40.28,6.91,2.99,,,,,,,34.14666667,13.04666667,3.656666667,34.55666667,13.56,4.513333333,32.64333333,12.08333333,2.966666667,,,,,,,6.026343,22.737286,5.15137,18.958571,0.084912281,,0.253926702,0.269788991,2,1.5,,,,
551,金乌金,2022.6.5,凉山猪,,2086845,公,,92,,,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617391304,90,77.8,,,,31,25.8,27.4,36.4,29.86666667,,5.7,3,11.97,,1.265,,0.477876106,,0.405309735,0.116814159,0.249622039,,,,,,,,,,,1.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.506666667,5.41,,,,5.406666667,5.493333333,,,39.34666667,4.676666667,3.633333333,43.97666667,8.46,4.7,45.59666667,6.016666667,3.793333333,,,,,,,31.35,12.26666667,3.133333333,32.07333333,12.72333333,3.806666667,33.79333333,12.67666667,3.996666667,,,,,,,9.555811,37.977604,8.026489,34.742743,0.055517241,,0.209245742,0.248593658,5,4,,,,
552,金乌金,2022.6.5,凉山猪,,1924753,公,,109,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697247706,94.5,80.5,,,,39.9,31.8,39.9,48.1,39.93333333,,6.9,3.9,18.837,,1.805,,0.461640212,,0.443121693,0.095238095,0.284210526,,,,,,,,,,,1.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.613333333,5.39,,,,5.643333333,5.74,,,36.56333333,6.696666667,3.74,38.08,5.893333333,3.226666667,42.57,5.85,3.216666667,,,,,,,27.33,11.24,2.343333333,28.06666667,11.14333333,2.61,28.23,9.916666667,2.863333333,,,,,,,7.572561,28.017961,6.412107,26.641211,0.072580645,,0.233516484,0.227218288,3.5,3.5,,,,
553,金乌金,2022.6.5,凉山猪,,2086855,母,,96,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608333333,92,81,,,,27,19.2,23.5,36.3,26.33333333,,8,3.8,21.28,,0.65,,0.496539792,,0.404844291,0.098615917,0.265410959,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.543333333,5.313333333,,,,5.586666667,5.746666667,,,36.43,6.42,3.863333333,45.47333333,5.726666667,3.903333333,44.44666667,4.973333333,3.096666667,,,,,,,33.18666667,12.38666667,3.046666667,34.48333333,9.176666667,1.96,34.22333333,11.49,2.723333333,,,,,,,3.761137,13.708935,6.819127,24.886438,0.074181818,,0.321649485,0.306469225,3.5,4.5,,,,
554,金乌金,2022.6.5,凉山猪,,287028,母,,110,,,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699090909,96,84,,,,34.8,29.8,29.6,41.9,33.76666667,,8.7,5.4,32.886,,1.815,,0.509615385,,0.401098901,0.089285714,0.281404421,,,,,,,,,,,1.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.656666667,5.373333333,,,,5.616666667,5.526666667,,,36.89,3.546666667,2.903333333,44.45333333,4.016666667,2.63,46.66,5.433333333,3.656666667,,,,,,,32.26333333,11.94333333,3.07,31.68666667,9.876666667,2.95,32.03,11.29333333,2.573333333,,,,,,,5.021947,19.661587,4.671827,18.639102,0.086440678,,0.257831325,0.250334448,5,2.5,,,,
555,金乌金,2022.6.5,凉山猪,,1924747,公,,99.5,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688442211,95,82,,,,31.5,23.4,29.8,51.8,35,,7.6,3.6,19.152,,2.105,,0.471698113,,0.432389937,0.09591195,0.238394161,,,,,,,,,,,2.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.273333333,5.33,,,,5.48,5.493333333,,,29.85666667,8.483333333,2.53,36.78,9.13,3.093333333,38.82333333,9.05,3.246666667,,,,,,,27.30333333,11.94333333,2.486666667,30.85,12.43,3.433333333,31.32,15.39333333,3.866666667,,,,,,,3.189449,11.226859,5.089892,20.831006,0.083703704,,0.270562771,0.233681518,4.5,2,,,,
556,金乌金,2022.6.5,凉山猪,,1924749, 公,,103,,,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66407767,95,79,,,,34.7,23.9,36.9,42.4,34.4,,9.6,2.7,18.144,,1.51,,0.446676971,,0.460587326,0.092735703,0.258625731,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,5.356666667,,,,5.613333333,5.513333333,,,39.76,11.05666667,4.863333333,35.43333333,6.886666667,2.006666667,41.09333333,9.723333333,3.383333333,,,,,,,32.96,10.04,2.493333333,32.58333333,9.853333333,3.14,33.8,14.17,4.033333333,,,,,,,3.254342,10.360581,4.078738,13.420102,0.161090909,,0.327027027,0.273679485,4.5,3,,,,
557,金乌金,2022.6.5,凉山猪,,1924736,公,,107,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714018692,86,73,,,,50,31.2,40.9,57.9,43.33333333,,9.9,2.8,19.404,,2.895,,0.405135521,,0.506419401,0.088445078,0.22395288,,,,,,,,,,,2.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.463333333,5.32,,,,5.453333333,5.51,,,29.93666667,8.486666667,2.493333333,33.50333333,7.49,2.463333333,36.92333333,9.13,2.64,,,,,,,28.58,12.00666667,2.433333333,28.57666667,10.43666667,2.6,29.42,12.21666667,3.39,,,,,,,6.746313,23.549969,5.258485,19.210242,0.079649123,,0.266129032,0.220890958,3.5,2,,,,
558,金乌金,2022.6.5,凉山猪,,2087032,母,,120,,,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710833333,94,84,,,,38.1,31.3,28.3,41.1,33.56666667,,8.7,4.2,25.578,,1.18,,0.486585366,,0.417073171,0.096341463,0.263774912,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.613333333,5.46,,,,5.616666667,5.64,,,34.28666667,7.193333333,3.193333333,34.42333333,5.526666667,1.756666667,36.10666667,9.043333333,2.536666667,,,,,,,33.17666667,14.2,4.036666667,34.36666667,13.36,4.4,36.35666667,16.04,4.543333333,,,,,,,4.233741,14.947618,5.096651,17.148267,0.0675,,0.318739054,0.249203755,2,2.5,,,,
559,金乌金,2022.6.5,凉山猪,,1924756,公,,99.5,,,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.740703518,88.2,77.5,,,,40.8,30.1,33.8,53.3,39.06666667,,8.1,4.6,26.082,,1.835,,0.438672439,,0.476190476,0.085137085,0.246540027,,,,,,,,,,,1.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.763333333,5.68,,,,5.423333333,5.586666667,,,33.85333333,7.37,2.766666667,36.26,6.593333333,2.323333333,36.75333333,8.053333333,2.706666667,,,,,,,30.04333333,11.11333333,2.633333333,27.00666667,9.69,2.533333333,28.62333333,10.11666667,2.373333333,,,,,,,1.833879,6.294788,6.524127,27.181678,0.048813559,,0.207823961,0.159238337,2,4,,,,
560,金乌金,2022.6.5,凉山猪,,1924760,母,,95.5,,,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669109948,85,74,,,,31.6,32.1,39,52,41.03333333,,9.1,2.5,15.925,,1.94,,0.469811321,,0.449056604,0.081132075,0.251017214,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.513333333,5.36,,,,4.01,6.33,,,30.74,10.49666667,3.24,31.23333333,7.43,1.963333333,36.49,10.92333333,2.796666667,,,,,,,26.77666667,11.83666667,2.436666667,26.63333333,11.96333333,3.013333333,29.16,13.1,2.976666667,,,,,,,4.531394,14.590387,5.619214,22.30668,0.063396226,,0.281553398,0.232991361,4,2,,,,
