ID,公司,采样时间,猪种,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
331,绵阳明兴,2019.12.54,YY,6.48333,5.43667,5.49,6.18333,5.61333,5.69
332,绵阳明兴,2019.12.55,YY,6.6,5.53333,5.56667,6.59667,5.63,5.79333
333,绵阳明兴,2019.12.56,LL,6.48333,5.43,5.49333,6.57667,5.59667,5.66
384,铁骑力士,2020.11.11,YY,6.84667,5.64667,5.61667,6.26667,5.48667,5.49333
385,铁骑力士,2020.11.11,LL,6.67667,5.63,5.53,6.64333,6.20333,6.19867
386,铁骑力士,2020.11.11,LL,6.88,5.53333,5.41667,6.16667,5.49333,5.47
387,铁骑力士,2020.11.11,LL,6.71333,5.82667,5.73,6.54333,6.42,6.37
388,铁骑力士,2020.11.11,LL,5.84667,5.52333,5.51333,6.08,6.26,6.53667
389,铁骑力士,2020.11.11,DD,5.77,5.49333,5.4,5.91333,5.6,5.50333
390,铁骑力士,2020.11.11,DD,5.85333,5.49,5.43667,5.86333,5.53667,5.51
391,铁骑力士,2020.11.11,DD,5.88333,5.65333,5.56167,5.66333,5.81667,5.88667
392,铁骑力士,2020.11.11,DD,6.04,5.49333,5.46667,5.85,6.07,6.06
393,铁骑力士,2020.11.11,DD,5.97333,5.88667,5.81,6.31667,6.23,6.24333
394,铁骑力士,2020.11.11,DD,5.99667,5.73,5.78333,5.92,5.92,6.28
395,铁骑力士,2020.11.11,黑猪,6.13667,5.83,5.79333,6.11667,5.84,5.77333
397,铁骑力士,2020.11.11,黑猪,5.9,5.56333,5.76333,6.41667,6.51667,6.56
398,铁骑力士,2020.11.11,黑猪,6.21667,5.51,5.66,5.98667,5.99667,6.14333
399,铁骑力士,2020.11.11,黑猪,6,5.79667,5.8,6.47667,6.65333,6.55
403,铁骑力士,2020.11.11,YY,6.07333,5.52667,5.4,6.21333,5.7,5.69667
404,铁骑力士,2020.11.11,LL,5.72,5.72,5.62333,6.26667,6.15333,6.14667
405,铁骑力士,2020.11.11,YY,5.74867,5.74667,5.63667,6.46667,5.65667,5.59667
406,铁骑力士,2020.11.11,YY,6.25667,5.66667,5.55267,6.47667,5.92,5.97333
407,铁骑力士,2020.11.11,LL,6.44333,5.56333,5.32333,5.86667,5.47333,5.42333
